episode,step,reward,score,length,epsilon,loss
201,6254,1.9000000000000012,0,30,0.9405870000000001,0.002667356515303254
202,6284,1.9000000000000012,0,30,0.940302,0.001177314086817205
203,6314,1.9000000000000012,0,30,0.940017,0.001995608676224947
204,6349,2.4000000000000017,0,35,0.9396845,0.001165296183899045
205,6379,1.9000000000000012,0,30,0.9393995,0.0026038584765046835
206,6411,2.1000000000000014,0,32,0.9390955,0.006796902511268854
207,6440,1.8000000000000012,0,29,0.93882,0.0017675868002697825
208,6469,1.8000000000000012,0,29,0.9385445,0.0013052683789283037
209,6503,2.3000000000000016,0,34,0.9382215,0.0035022408701479435
210,6533,1.9000000000000012,0,30,0.9379365,0.001404015114530921
211,6562,1.8000000000000012,0,29,0.937661,0.0032295547425746918
212,6595,2.2000000000000015,0,33,0.9373475,0.002867261879146099
213,6627,2.1000000000000014,0,32,0.9370435,0.0011508995667099953
214,6660,2.2000000000000015,0,33,0.93673,0.0008515727240592241
215,6692,2.1000000000000014,0,32,0.936426,0.0015590947587043047
216,6721,1.8000000000000012,0,29,0.9361505,0.0009642458171583712
217,6752,2.0000000000000013,0,31,0.935856,0.003822664264589548
218,6784,2.1000000000000014,0,32,0.935552,0.0032495628111064434
219,6820,2.5000000000000018,0,36,0.93521,0.005556359421461821
220,6851,2.0000000000000013,0,31,0.9349155,0.0017930868780240417
221,6881,1.9000000000000012,0,30,0.9346305,0.005899989046156406
222,6912,2.0000000000000013,0,31,0.934336,0.001357444329187274
223,6949,2.600000000000002,0,37,0.9339845,0.0012983429478481412
224,6978,1.8000000000000012,0,29,0.933709,0.004188987426459789
225,7009,2.0000000000000013,0,31,0.9334145,0.003766172332689166
226,7040,2.0000000000000013,0,31,0.93312,0.00038285256596282125
227,7071,2.0000000000000013,0,31,0.9328255,0.0005012945621274412
228,7105,2.3000000000000016,0,34,0.9325025,0.00020334977307356894
229,7134,1.8000000000000012,0,29,0.932227,0.0004388717352412641
230,7165,2.0000000000000013,0,31,0.9319325,0.00016898383910302073
231,7196,2.0000000000000013,0,31,0.931638,0.0011983407894149423
232,7228,2.1000000000000014,0,32,0.931334,0.00011120233830297366
233,7261,2.2000000000000015,0,33,0.9310205,0.00024403122370131314
234,7291,1.9000000000000012,0,30,0.9307355,0.0005891473265364766
235,7322,2.0000000000000013,0,31,0.930441,0.0006820103735662997
236,7351,1.8000000000000012,0,29,0.9301655,0.0009396165842190385
237,7381,1.9000000000000012,0,30,0.9298805,0.0006213035667315125
238,7410,1.8000000000000012,0,29,0.929605,0.0010142254177480936
239,7440,1.9000000000000012,0,30,0.92932,0.0009821903659030795
240,7470,1.9000000000000012,0,30,0.929035,0.0005247901426628232
241,7504,2.3000000000000016,0,34,0.928712,6.957069126656279e-05
242,7538,2.3000000000000016,0,34,0.928389,0.0006002394366078079
243,7568,1.9000000000000012,0,30,0.928104,0.00011475813516881317
244,7600,2.1000000000000014,0,32,0.9278,0.00019401044119149446
245,7629,1.8000000000000012,0,29,0.9275245,0.00048377487109974027
246,7660,2.0000000000000013,0,31,0.92723,7.802432810422033e-05
247,7690,1.9000000000000012,0,30,0.926945,0.0016615890199318528
248,7721,2.0000000000000013,0,31,0.9266505,0.0005561431753449142
249,7753,2.1000000000000014,0,32,0.9263465,0.0006230776198208332
250,7782,1.8000000000000012,0,29,0.926071,0.0004445642698556185
251,7812,1.9000000000000012,0,30,0.925786,0.0009417404653504491
252,7844,2.1000000000000014,0,32,0.925482,0.0006889770156703889
253,7874,1.9000000000000012,0,30,0.925197,0.00011891248868778348
254,7904,1.9000000000000012,0,30,0.924912,0.0001657674292800948
255,7934,1.9000000000000012,0,30,0.924627,0.00012393045471981168
256,7966,2.1000000000000014,0,32,0.924323,0.0006531985709443688
