episode,step,reward,score,length,epsilon,loss
40,5421,8.741294592773437,0,105,0.048554400000000005,0.0026960440445691347
41,5522,7.978773426757813,0,101,0.04852746666666667,0.0137788075953722
42,5602,5.944543070312502,0,80,0.04850613333333333,0.005020499229431152
43,5776,17.297042445312496,2,174,0.04845973333333334,0.008350841701030731
44,5969,20.13041177050782,3,193,0.04840826666666667,0.007101037539541721
45,6143,17.2128360703125,2,174,0.04836186666666667,0.004144130740314722
46,6244,8.248970698242186,0,101,0.04833493333333334,0.003105271840468049
47,6357,10.747280724609377,1,113,0.0483048,0.0019225324504077435
48,6458,8.174500307617189,0,101,0.04827786666666667,0.002308933064341545
49,6595,12.534768441406257,1,137,0.04824133333333334,0.0042874752543866634
50,6732,12.76048952832032,1,137,0.048204800000000006,0.00435276236385107
51,6838,8.701643455078127,0,106,0.048176533333333334,0.002419188152998686
52,6890,3.532224460937501,0,52,0.048162666666666666,0.020494122058153152
53,7107,22.300131147460938,3,217,0.0481048,0.007402186281979084
54,7226,11.350017799804679,1,119,0.04807306666666667,0.0036524939350783825
55,7347,11.522913077148447,1,121,0.0480408,0.004667569883167744
56,7456,9.154923097656251,0,109,0.048011733333333334,0.0219634510576725
57,7574,11.282940445312502,1,118,0.04798026666666667,0.007508439477533102
58,7900,36.53371301953123,6,326,0.047893333333333336,0.027847975492477417
59,7935,2.2181770761718753,0,35,0.047884,0.1740441769361496
60,8039,8.579791953125,0,104,0.04785626666666667,0.0055101956240832806
61,8213,17.772747102539064,2,174,0.04780986666666667,0.006957239471375942
62,8358,13.596512490234382,1,145,0.0477712,0.004984814673662186
63,8476,10.853758924804689,1,118,0.04773973333333334,0.0032770368270576
64,8577,7.60896077734375,0,101,0.0477128,0.0036695734597742558
65,8687,9.048533006835937,0,110,0.04768346666666667,0.006021516863256693
66,8835,14.989411035156257,2,148,0.047644000000000006,0.003921288065612316
67,8986,15.300800705078128,2,151,0.047603733333333335,0.0017222319729626179
68,9168,18.259986525390616,2,182,0.047555200000000006,0.00237806118093431
69,9342,16.91148070214843,2,174,0.047508800000000004,0.0068367114290595055
70,9479,12.922531640624996,1,137,0.04747226666666667,0.20631760358810425
71,9538,4.109255611328127,0,59,0.047456533333333335,0.005144014023244381
72,9712,17.394340934570312,2,174,0.04741013333333333,0.0017885923152789474
73,9903,20.094633442382797,3,191,0.047359200000000004,0.3785284757614136
74,10040,12.777890777343753,1,137,0.04732266666666667,0.005560171790421009
75,10177,12.996508717773438,1,137,0.047286133333333334,0.03213813528418541
76,10294,10.966885696289065,1,117,0.04725493333333334,0.0044023217633366585
77,10480,19.522139541992193,3,186,0.047205333333333335,0.012796484865248203
78,10637,15.824004413085941,2,157,0.04716346666666667,0.16759668290615082
79,10751,10.770378554687504,1,114,0.04713306666666667,0.00801957305520773
80,10946,20.599337617187494,3,195,0.04708106666666667,0.0021848513279110193
81,11051,8.539721371093753,0,105,0.04705306666666667,0.19469057023525238
82,11152,8.285582295898438,0,101,0.04702613333333334,0.10439638048410416
83,11263,9.014903901367182,0,111,0.04699653333333333,0.0814497247338295
84,11492,24.937268518554685,4,229,0.04693546666666667,0.009348051622509956
85,11630,13.1423824140625,1,138,0.04689866666666667,0.016890227794647217
